Targeting,Match Type,Bid Value,Suggested lower bid range,Suggested upper bid range,Impressions,Spend,Click-Thru Rate (CTR),Total Return on Advertising Spend (RoAS),Clicks,14 Day Total Sales (₹),14 Day Conversion Rate,14 Day Total Units (#),14 Day Total Orders (#),Category
ortho oil,PHRASE,7.81,2.12795214097418,10.3681417946906,1116.0,7.81,0.000896057347670251,0.0,1.0,0.0,0.0,0.0,0.0,['Косметика']
ortho oil,PHRASE,7.81,2.12795214097418,10.3681417946906,837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
ortho oil,PHRASE,45.79,11.1764360643943,50.2304265761316,675.0,45.79,0.00148148148148148,0.0,1.0,0.0,0.0,0.0,0.0,['Косметика']
ortho oil,PHRASE,45.79,11.1764360643943,50.2304265761316,648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
ortho oil,PHRASE,54.285,38.368720205981,21.3578054061455,912.0,108.57,0.00219298245614035,0.0,2.0,0.0,0.0,0.0,0.0,['Косметика']
ortho oil,PHRASE,51.6466666666667,18.4525867209072,97.0849946574627,1170.0,154.94,0.00256410256410256,0.0,3.0,0.0,0.0,0.0,0.0,['Косметика']
ortho oil,PHRASE,10.84,5.85549393189473,6.1231214287648,792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
ortho oil,PHRASE,10.84,5.85549393189473,6.1231214287648,643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
ortho oil,PHRASE,10.84,5.85549393189473,6.1231214287648,692.0,10.84,0.00144508670520231,0.0,1.0,0.0,0.0,0.0,0.0,['Косметика']
ortho oil,PHRASE,10.84,5.85549393189473,6.1231214287648,358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
ortho oil,PHRASE,10.84,5.85549393189473,6.1231214287648,546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
ortho oil,PHRASE,10.84,5.85549393189473,6.1231214287648,658.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
ortho oil,PHRASE,20.0,15.7969440117381,20.3653681726473,619.0,20.0,0.00161550888529887,0.0,1.0,0.0,0.0,0.0,0.0,['Косметика']
oil joint pain,PHRASE,34.26,5.08196596316237,61.9887433798927,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
oil joint pain,PHRASE,34.26,5.08196596316237,61.9887433798927,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
oil joint pain,PHRASE,34.26,5.08196596316237,61.9887433798927,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
oil joint pain,PHRASE,34.26,5.08196596316237,61.9887433798927,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
oil joint pain,PHRASE,34.26,5.08196596316237,61.9887433798927,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
oil joint pain,PHRASE,34.26,5.08196596316237,61.9887433798927,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
oil joint pain,PHRASE,34.26,5.08196596316237,61.9887433798927,104.0,34.26,0.00961538461538462,0.0,1.0,0.0,0.0,0.0,0.0,['Косметика']
oil joint pain,PHRASE,30.655,29.2232557091003,54.6453961814762,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
oil joint pain,PHRASE,30.655,29.2232557091003,54.6453961814762,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
oil joint pain,PHRASE,30.655,29.2232557091003,54.6453961814762,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
oil joint pain,PHRASE,30.655,29.2232557091003,54.6453961814762,81.0,61.31,0.0246913580246914,0.0,2.0,0.0,0.0,0.0,0.0,['Косметика']
oil joint pain,PHRASE,25.1233333333333,0.0515775368580478,6.16901903370458,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
oil joint pain,PHRASE,25.1233333333333,0.0515775368580478,6.16901903370458,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
oil joint pain,PHRASE,25.1233333333333,0.0515775368580478,6.16901903370458,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
oil joint pain,PHRASE,25.1233333333333,0.0515775368580478,6.16901903370458,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
oil joint pain,PHRASE,25.1233333333333,0.0515775368580478,6.16901903370458,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
oil joint pain,PHRASE,25.1233333333333,0.0515775368580478,6.16901903370458,94.0,75.37,0.0319148936170213,0.0,3.0,0.0,0.0,0.0,0.0,['Косметика']
oil joint pain,PHRASE,19.57,2.56523683728745,12.9471421403944,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
oil joint pain,PHRASE,19.57,2.56523683728745,12.9471421403944,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
oil joint pain,PHRASE,19.57,2.56523683728745,12.9471421403944,51.0,39.14,0.0392156862745098,0.0,2.0,0.0,0.0,0.0,0.0,['Косметика']
oil joint pain,PHRASE,19.57,2.56523683728745,12.9471421403944,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
pain oil,PHRASE,37.12,15.2160939977648,57.9980318892185,609.0,111.36,0.00492610837438424,0.0,3.0,0.0,0.0,0.0,0.0,['Косметика']
pain oil,PHRASE,30.9557142857143,29.5725229723574,3.98270000746912,678.0,216.69,0.0103244837758112,1.47925608011445,7.0,320.54,0.142857142857143,1.0,1.0,['Косметика']
pain oil,PHRASE,16.92,1.98826980665812,30.813471905497,562.0,16.92,0.00177935943060498,0.0,1.0,0.0,0.0,0.0,0.0,['Косметика']
pain oil,PHRASE,29.25,24.2176704352786,38.9423999024294,426.0,87.75,0.00704225352112676,3.65287749287749,3.0,320.54,0.333333333333333,1.0,1.0,['Косметика']
pain oil,PHRASE,31.27,27.6574879903757,26.1942946091596,843.0,62.54,0.00237247924080664,0.0,2.0,0.0,0.0,0.0,0.0,['Косметика']
pain oil,PHRASE,31.27,27.6574879903757,26.1942946091596,697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
pain oil,PHRASE,31.27,27.6574879903757,26.1942946091596,748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
pain oil,PHRASE,29.7475,19.784987128119,32.6043471956574,524.0,118.99,0.00763358778625954,2.69383981847214,4.0,320.54,0.25,1.0,1.0,['Косметика']
pain oil,PHRASE,25.306,2.28986883216809,38.1607700262944,1082.0,126.53,0.00462107208872459,0.0,5.0,0.0,0.0,0.0,0.0,['Косметика']
pain oil,PHRASE,34.235,9.05195708833895,52.1902480136445,468.0,136.94,0.00854700854700855,0.0,4.0,0.0,0.0,0.0,0.0,['Косметика']
pain oil,PHRASE,33.62,13.3036741166156,60.8353377308184,489.0,33.62,0.00204498977505112,0.0,1.0,0.0,0.0,0.0,0.0,['Косметика']
pain oil,PHRASE,25.4333333333333,9.27687940674611,31.0657227373565,452.0,76.3,0.00663716814159292,0.0,3.0,0.0,0.0,0.0,0.0,['Косметика']
pain oil,PHRASE,36.82,26.1552735545685,12.4357417458476,686.0,36.82,0.00145772594752187,0.0,1.0,0.0,0.0,0.0,0.0,['Косметика']
pain oil,PHRASE,36.82,26.1552735545685,12.4357417458476,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
pain oil,PHRASE,19.8,10.5558779843995,33.0412101284822,392.0,59.4,0.0076530612244898,0.0,3.0,0.0,0.0,0.0,0.0,['Косметика']
pain oil,PHRASE,12.58,5.90559250232897,24.8758472014734,334.0,12.58,0.0029940119760479,0.0,1.0,0.0,0.0,0.0,0.0,['Косметика']
pain oil,PHRASE,12.21,3.9108680396627,14.6752798716973,401.0,12.21,0.00249376558603491,0.0,1.0,0.0,0.0,0.0,0.0,['Косметика']
pain oil,PHRASE,28.1766666666667,1.35770278378193,1.64290430298109,365.0,84.53,0.00821917808219178,0.0,3.0,0.0,0.0,0.0,0.0,['Косметика']
pain oil,PHRASE,22.56,4.73211477277133,22.574833296906,377.0,22.56,0.0026525198938992,0.0,1.0,0.0,0.0,0.0,0.0,['Косметика']
pain oil,PHRASE,33.93,32.5657118485864,29.323546431193,375.0,33.93,0.00266666666666667,0.0,1.0,0.0,0.0,0.0,0.0,['Косметика']
pain oil,PHRASE,33.93,32.5657118485864,29.323546431193,542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
pain oil,PHRASE,69.24,50.0794676878354,22.9071353938006,574.0,69.24,0.00174216027874565,0.0,1.0,0.0,0.0,0.0,0.0,['Косметика']
pain oil,PHRASE,69.825,23.0835953273066,73.2299947721586,310.0,139.65,0.00645161290322581,0.0,2.0,0.0,0.0,0.0,0.0,['Косметика']
pain oil,PHRASE,40.77,12.4578138678951,35.9710142006351,319.0,40.77,0.00313479623824451,0.0,1.0,0.0,0.0,0.0,0.0,['Косметика']
pain oil,PHRASE,77.49,18.1253336821636,49.5891420424449,535.0,77.49,0.00186915887850467,0.0,1.0,0.0,0.0,0.0,0.0,['Косметика']
pain oil,PHRASE,16.86,6.69346576586488,28.3610378203803,291.0,33.72,0.00687285223367698,0.0,2.0,0.0,0.0,0.0,0.0,['Косметика']
pain oil,PHRASE,67.57,48.9409555902602,122.839501549851,417.0,67.57,0.00239808153477218,0.0,1.0,0.0,0.0,0.0,0.0,['Косметика']
pain oil,PHRASE,57.8983333333333,30.1041466867234,14.6630509962631,303.0,347.39,0.0198019801980198,1.74259477820317,6.0,605.36,0.333333333333333,2.0,2.0,['Косметика']
pain oil,PHRASE,30.01,27.5113961886276,2.38513371865103,606.0,90.03,0.00495049504950495,0.0,3.0,0.0,0.0,0.0,0.0,['Косметика']
artho pain oil,PHRASE,30.01,27.5113961886276,2.38513371865103,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
leg pain medicine,PHRASE,30.01,27.5113961886276,2.38513371865103,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
leg pain medicine,PHRASE,30.01,27.5113961886276,2.38513371865103,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
muscle pain,PHRASE,17.9,3.08479786058862,14.3717558418124,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
muscle pain,PHRASE,17.9,3.08479786058862,14.3717558418124,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
muscle pain,PHRASE,17.9,3.08479786058862,14.3717558418124,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
muscle pain,PHRASE,17.9,3.08479786058862,14.3717558418124,9.0,17.9,0.111111111111111,0.0,1.0,0.0,0.0,0.0,0.0,['Косметика']
muscle pain,PHRASE,17.9,3.08479786058862,14.3717558418124,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
muscle pain,PHRASE,17.9,3.08479786058862,14.3717558418124,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
muscle pain,PHRASE,17.9,3.08479786058862,14.3717558418124,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
muscle pain,PHRASE,17.9,3.08479786058862,14.3717558418124,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
muscle pain,PHRASE,17.9,3.08479786058862,14.3717558418124,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
muscle pain,PHRASE,17.9,3.08479786058862,14.3717558418124,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
muscle pain,PHRASE,17.9,3.08479786058862,14.3717558418124,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
muscle pain,PHRASE,17.9,3.08479786058862,14.3717558418124,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Косметика']
