Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Impressions,Clicks,Click-Thru Rate (CTR),Bid Value,Suggested lower bid range,Suggested upper bid range,Spend,Total Advertising Cost of Sales (ACoS),Total Return on Advertising Spend (RoAS),14 Day Total Sales (₹),14 Day Total Orders (#),14 Day Total Units (#),14 Day Conversion Rate
2020-02-02,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,knee pain oil,EXACT,21,0,0.0,₹ 31.35,₹ 14.79,₹ 36.24,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-21,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,muscle pain relief,PHRASE,27,0,0.0,₹ 21.17,₹ 11.96,₹ 9.59,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-29,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,arthritis oil,PHRASE,4,0,0.0,₹ 17.15,₹ 8.61,₹ 31.02,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-01,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,oil leg pain,PHRASE,12,0,0.0,₹ 23.96,₹ 4.66,₹ 43.33,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-02,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,oil leg pain,PHRASE,27,0,0.0,₹ 23.96,₹ 4.66,₹ 43.33,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-03,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,oil leg pain,PHRASE,4,0,0.0,₹ 23.96,₹ 4.66,₹ 43.33,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-04,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,oil leg pain,PHRASE,7,0,0.0,₹ 23.96,₹ 4.66,₹ 43.33,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-05,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,oil leg pain,PHRASE,12,0,0.0,₹ 23.96,₹ 4.66,₹ 43.33,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-06,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,oil leg pain,PHRASE,5,0,0.0,₹ 23.96,₹ 4.66,₹ 43.33,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-07,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,oil leg pain,PHRASE,35,0,0.0,₹ 23.96,₹ 4.66,₹ 43.33,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
2020-02-08,Not grouped,INR,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain Relief Oil -SP-Generic,oil leg pain,PHRASE,4,0,0.0,₹ 23.96,₹ 4.66,₹ 43.33,₹ 0.00,0.0,0.0,₹ 0.00,0,0,0.0
